identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
occurrence:11		Occurrence	reproductiveCondition	生殖狀況	The reproductive condition of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.	生物個體被記錄時的生殖相關狀態，建議使用控制詞彙。如:“非繁殖狀態”、“懷孕”、“開花”、"結果"等			"non-reproductive",  "pregnant",  "in bloom",  "fruit-bearing".		http://terms.tdwg.org/wiki/dwc:reproductiveCondition
occurrence:12		Occurrence	behavior	行為	A description of the behavior shown by the subject at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.	生物個體被記錄時的行為，建議使用控制詞彙。如:“築巢”、“覓食”、"奔跑"等			"roosting",  "foraging",  "running".		http://terms.tdwg.org/wiki/dwc:behavior
occurrence:13		Occurrence	establishmentMeans	拓殖意義	The process by which the biological individual(s) represented in the Occurrence became established at the location. Recommended best practice is to use a controlled vocabulary.	生物個體於一個新地區拓殖時，其拓展所代表的意義。如:“原生”、“入侵”、“引進”、“歸化”、"管控中"等			"native",  "introduced",  "naturalised",  "invasive",  "managed".		http://terms.tdwg.org/wiki/dwc:establishmentMeans
occurrence:14		Occurrence	occurrenceStatus	出現狀態	A statement about the presence or absence of a Taxon at a Location. Recommended best practice is to use a controlled vocabulary.				"present",  "absent".		http://terms.tdwg.org/wiki/dwc:occurrenceStatus
occurrence:15		Occurrence	preparations	製備過程	A list (concatenated and separated) of preparations and preservation methods for a specimen.	標本處理及保存方法清單(使用標點符號分隔)。	The recommended best practice is to separate the values with a vertical bar (' | ').		"fossil",  "cast",  "photograph",  "DNA extract",  "skin | "skull | skeleton",  "whole animal (ETOH) | tissue (EDTA)".		http://terms.tdwg.org/wiki/dwc:preparations
occurrence:16		Occurrence	disposition	標本現況	The current state of a specimen with respect to the collection identified in collectionCode or collectionID. Recommended best practice is to use a controlled vocabulary.	被登記於某collectionID或CollectionCode的標本，其目前的狀態，建議使用控制詞彙。如"典藏中"、“遺失”、“外借他處”、“複本於他處”			"in collection",  "missing",  "voucher elsewhere",  "duplicates elsewhere".		http://terms.tdwg.org/wiki/dwc:disposition
occurrence:17		Occurrence	associatedMedia	相關記載媒體	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.	與此出現紀錄的相關各式媒體(如影像、影片、音訊等資訊於出版刊物、全球唯一識別碼、網址或其他URI等出處)列表(使用標點符號分隔)。	The recommended best practice is to separate the values with a vertical bar (' | ').		"http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG",  "http://204.140.246.24/Fish/Collection%20Pictures/10118-00.jpg | http://204.140.246.24/Fish/Collection%20Pictures/10118-00a.jpg".		http://terms.tdwg.org/wiki/dwc:associatedMedia
occurrence:18		Occurrence	associatedReferences	相關文獻	A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.	與此出現紀錄相關的文獻(如出版刊物、學術引用、全球唯一識別碼或URI等)列表(使用標點符號分隔)。	The recommended best practice is to separate the values with a vertical bar (' | ').		"http://www.sciencemag.org/cgi/content/abstract/322/5899/261",  "Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.",  "Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.".		http://terms.tdwg.org/wiki/dwc:associatedReferences
occurrence:19		Occurrence	associatedSequences	相關遺傳序列	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.	與此出現紀錄相關的遺傳序列(如出版刊物、全球唯一識別碼或URI等)列表(使用標點符號分隔)。	The recommended best practice is to separate the values with a vertical bar (' | ').		"http://www.ncbi.nlm.nih.gov/nuccore/U34853.1",  "http://www.ncbi.nlm.nih.gov/nuccore/GU328060 | http://www.ncbi.nlm.nih.gov/nuccore/AF326093".		http://terms.tdwg.org/wiki/dwc:associatedSequences
occurrence:20		Occurrence	associatedTaxa	相關類群	A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.	與此出現紀錄相關的生物名錄(使用標點符號分隔)，如 “host: Quercus alba”、“parasitoid of:Cyclocephala signaticollis | predator of Apis mellifera”。	The recommended best practice is to separate the values with a vertical bar (' | '), and to separate the relationship from the taxon with a colon (':').		"host: Quercus alba",  "parasitoid of:Cyclocephala signaticollis | predator of Apis mellifera".		http://terms.tdwg.org/wiki/dwc:associatedTaxa
occurrence:21		Occurrence	otherCatalogNumbers	其他紀錄代號	A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same Occurrence, whether in the current or any other data set or collection.	此筆紀錄先前被任何人所發表的完整、被認可的代號或編號列表(使用標點符號分隔)，無論是否在相同的資料集或其他藏品中。如"FMNH:Mammal:1234"、“NPS YELLO6778 | MBG 33424”。	The recommended best practice is to separate the values with a vertical bar (' | ').		"FMNH:Mammal:1234",  "NPS YELLO6778 | MBG 33424".		http://terms.tdwg.org/wiki/dwc:otherCatalogNumbers
occurrence:22		Occurrence	occurrenceRemarks	出現記錄概述	Comments or notes about the Occurrence.	針對此筆出現記錄的描述或筆記。如 “found dead on road”			 "found dead on road".		http://terms.tdwg.org/wiki/dwc:occurrenceRemarks
