identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
location:11		Location	stateProvince		The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.				"Montana",  "Minas Gerais",  "Córdoba".		http://terms.tdwg.org/wiki/dwc:stateProvince
location:12		Location	county	縣	The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.				"Missoula",  "Los Lagos",  "Mataró".		http://terms.tdwg.org/wiki/dwc:county
location:13		Location	municipality	鄉鎮	The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.				"Holzminden".		http://terms.tdwg.org/wiki/dwc:municipality
location:14		Location	locality	地點	The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.				"Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)".		http://terms.tdwg.org/wiki/dwc:locality
location:15		Location	verbatimLocality		The original textual description of the place.				"25 km NNE Bariloche por R. Nac. 237".		http://terms.tdwg.org/wiki/dwc:verbatimLocality
location:16		Location	minimumElevationInMeters	最小海拔(m)	The lower limit of the range of elevation (altitude, usually above sea level), in meters.				"100".		http://terms.tdwg.org/wiki/dwc:minimumElevationInMeters
location:17		Location	maximumElevationInMeters	最大海拔(m)	The upper limit of the range of elevation (altitude, usually above sea level), in meters.				"200".		http://terms.tdwg.org/wiki/dwc:maximumElevationInMeters
location:18		Location	verbatimElevation	字面海拔	The original description of the elevation (altitude, usually above sea level) of the Location.				"100-200 m".		http://terms.tdwg.org/wiki/dwc:verbatimElevation
location:19		Location	minimumDepthInMeters	最小深度(m)	The lesser depth of a range of depth below the local surface, in meters.				"100".		http://terms.tdwg.org/wiki/dwc:minimumDepthInMeters
location:20		Location	maximumDepthInMeters	最大深度(m)	The greater depth of a range of depth below the local surface, in meters.				"200".		http://terms.tdwg.org/wiki/dwc:maximumDepthInMeters
location:21		Location	verbatimDepth	字面深度	The original description of the depth below the local surface.				"100-200 m".		http://terms.tdwg.org/wiki/dwc:verbatimDepth
location:22		Location	minimumDistanceAboveSurfaceInMeters		The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.				1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: "300m" MinimumElevationInMeters: "300", MaximumElevationInMeters: "300", VerbatimDepth: "20m", MinimumDepthInMeters: "20", MaximumDepthInMeters: "20", minimumDistanceAboveSurfaceInMeters: "0", maximumDistanceAboveSurfaceInMeters: "-1.5".		http://terms.tdwg.org/wiki/dwc:minimumDistanceAboveSurfaceInMeters
location:23		Location	maximumDistanceAboveSurfaceInMeters		The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.				1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: "300m" MinimumElevationInMeters: "300", MaximumElevationInMeters: "300", VerbatimDepth: "20m", MinimumDepthInMeters: "20", MaximumDepthInMeters: "20", minimumDistanceAboveSurfaceInMeters: "0", maximumDistanceAboveSurfaceInMeters: "-1.5".		http://terms.tdwg.org/wiki/dwc:maximumDistanceAboveSurfaceInMeters
location:24		Location	locationAccordingTo		Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.				"Getty Thesaurus of Geographic Names",  "GADM".		http://terms.tdwg.org/wiki/dwc:locationAccordingTo
location:25		Location	locationRemarks		Comments or notes about the Location.				"under water since 2005".		http://terms.tdwg.org/wiki/dwc:locationRemarks
location:26		Location	decimalLatitude	緯度	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.				"-41.0983423".		http://terms.tdwg.org/wiki/dwc:decimalLatitude
location:27		Location	decimalLongitude	經度	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.				"-121.1761111".		http://terms.tdwg.org/wiki/dwc:decimalLongitude
location:28		Location	geodeticDatum	大地基準	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".				"EPSG:4326",  "WGS84",  "NAD27",  "Campo Inchauspe",  "European 1950",  "Clarke 1866".		http://terms.tdwg.org/wiki/dwc:geodeticDatum
location:29		Location	coordinateUncertaintyInMeters	座標誤差(m)	The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.				"30" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time),  "71" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).		http://terms.tdwg.org/wiki/dwc:coordinateUncertaintyInMeters
location:30		Location	coordinatePrecision		A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.				"0.00001" (normal GPS limit for decimal degrees),  "0.000278" (nearest second),  "0.01667" (nearest minute),  "1.0" (nearest degree).		http://terms.tdwg.org/wiki/dwc:coordinatePrecision
location:31		Location	pointRadiusSpatialFit		The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.		Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006.				http://terms.tdwg.org/wiki/dwc:pointRadiusSpatialFit
location:32		Location	verbatimCoordinates		The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.				"41 05 54S 121 05 34W",  "17T 630000 4833400".		http://terms.tdwg.org/wiki/dwc:verbatimCoordinates
location:33		Location	verbatimLatitude		The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.				"41 05 54.03S".		http://terms.tdwg.org/wiki/dwc:verbatimLatitude
location:34		Location	verbatimLongitude		The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.				"121d 10' 34" W".		http://terms.tdwg.org/wiki/dwc:verbatimLongitude
location:35		Location	verbatimCoordinateSystem		The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.				"decimal degrees",  "degrees decimal minutes",  "degrees minutes seconds",  "UTM".		http://terms.tdwg.org/wiki/dwc:verbatimCoordinateSystem
location:36		Location	verbatimSRS		The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".				"EPSG:4326",  "WGS84",  "NAD27",  "Campo Inchauspe",  "European 1950",  "Clarke 1866".		http://terms.tdwg.org/wiki/dwc:verbatimSRS
location:37		Location	footprintWKT		A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.				the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20)).		http://terms.tdwg.org/wiki/dwc:footprintWKT
location:38		Location	footprintSRS		A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.				The WKT for the standard WGS84 SRS (EPSG:4326) is "GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]" without the enclosing quotes.		http://terms.tdwg.org/wiki/dwc:footprintSRS
location:39		Location	footprintSpatialFit		The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.		Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006.				http://terms.tdwg.org/wiki/dwc:footprintSpatialFit
location:40		Location	georeferencedBy		A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.		The recommended best practice is to separate the values with a vertical bar (' | ').		"Brad Millen (ROM)",  "Kristina Yamamoto (MVZ) | Janet Fang (MVZ)".		http://terms.tdwg.org/wiki/dwc:georeferencedBy
location:41		Location	georeferencedDate		The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).				"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC,  "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC,  "1809-02-12" is 12 Feb 1809,  "1906-06" is Jun 1906,  "1971" is just that year,  "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC,  "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.		http://terms.tdwg.org/wiki/dwc:georeferencedDate
location:42		Location	georeferenceProtocol		A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.				"Guide to Best Practices for Georeferencing. (Chapman and Wieczorek, eds. 2006). Global Biodiversity Information Facility.",  "MaNIS/HerpNet/ORNIS Georeferencing Guidelines",  "Georeferencing Quick Reference Guide".		http://terms.tdwg.org/wiki/dwc:georeferenceProtocol
location:43		Location	georeferenceSources		A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.		The recommended best practice is to separate the values with a vertical bar (' | ').		"GeoLocate",  "USGS 1:24000 Florence Montana Quad | Terrametrics 2008 on Google Earth".		http://terms.tdwg.org/wiki/dwc:georeferenceSources
location:44		Location	georeferenceVerificationStatus		A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.				"requires verification",  "verified by collector",  "verified by curator".		http://terms.tdwg.org/wiki/dwc:georeferenceVerificationStatus
location:45		Location	georeferenceRemarks		Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.				"assumed distance by road (Hwy. 101)".		http://terms.tdwg.org/wiki/dwc:georeferenceRemarks
